"","Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","fem_occ_professional","num_occupants_crowded","phone_service","Cluster"
"385",37063001706,0.594376227744383,0.274870197921858,0.540537759975053,0.340962085917074,0.262612865719445,1,0,0.236806258288348,0.744857205932235,0.299922108268192,0,0.175582895003479,0.994120798257657,4
"386",37063001707,0.209367718688816,0.172090107024879,0.478245155163951,0.395247728737345,0.302194827670385,0.919145030018058,0,0.133518203487878,0.528600150367691,0.339007992621069,0.266469355010596,0.130808607288298,0.99472117724881,1
"387",37063001708,0.861775691614322,0.358219325775369,0.685718119765372,0.656933784166554,0.375392616170354,0,0.0951034068730948,0.200597259372219,0.592174074092074,0.221021661184246,0.300273099737938,0.211324392509284,0.994615236474056,2
"388",37063001709,0.850285619059127,0.514989141428704,0.836740563669222,0.751458599627536,0.420387181793438,0,0.158373725226457,0.352551423519953,0.852257420617411,0.176930347385877,0.19669007881522,0.207784364438865,0.987587437834454,2
"389",37063001710,0.636439034636267,0.249866559905092,0.648780519505014,0.52672731034581,0.380713829461211,0.432049379893858,0.132700383102538,0.240961771263804,0.721331847836484,0.0975236872006867,0.221403721385024,0.219147470121421,0.97432350720465,3
"390",37063001711,0.650600048632355,0.328006642597918,0.822430892503618,0.742185936698526,0.478314533481452,0.514788617438475,0.118462078460848,0.219528519979381,0.920482124174236,0,0.199276670324803,0.221035175609107,0.993220260811511,2
"391",37063001801,0.73275933047073,0.175480840731622,0.525158665648993,0.482587509992558,0.37033606809203,0.3038218101251,0,0.249346062181024,0.402989994205052,0.244724559229575,0.174570445776555,0.200670018627195,0.986285746438682,2
"392",37063001802,0.760320937121281,0.201189475227905,0.676559864197882,0.562889050040039,0.505149005296215,0.644159525389026,0.136920915224777,0.297606838494769,0.592047134048543,0.186304034432372,0.153356918032936,0.263534366192467,0.993802697016116,2
"393",37063001806,0.708618045835499,0,0.51812776015084,0.503192977560558,0.339315686544455,NA,0.098807393328081,0.210679369054271,0.375950532528975,0.278510563842573,0.166370685849422,0,1,1
"394",37063001807,0.735087130572572,0.182761318075531,0.586602232192244,0.51425947722658,0.362886441749699,0.406727807376973,0.119820160190858,0.278625460944755,0.497623548000669,0.323989111081498,0.333498064419906,0.13368933818539,0.9899879692776,1
"395",37063001808,0.569184733293136,0.0852415491854682,0.436890922717341,0.413328307004461,0.258847557615859,0.185695338177052,0,0.212321171696553,0.276465406550455,0.394085054655756,0.414817240162759,0.0706785587992058,1,1
"396",37063001809,0.582828371983693,0.233126202060078,0.668282830654486,0.651877279900737,0.398891693738204,0,0.111990205018416,0.223808517951353,0.724160656391748,0.44121664876514,0.326392220808101,0.239320386702928,0.996649906832534,2
"397",37063001900,0.206941884719817,0.138857236630893,0.293249187543778,0.247840798548305,0.25236523716185,NA,0.0661975901867894,0.213875556394807,0.303992961285116,0.362272113425085,0.359767458385934,0.118417849283467,0.996048283114946,1
"398",37063002007,0.531605333728155,0.18691302557301,0.427357848341319,0.317880329985385,0.205941387001055,0.709682770705684,0.129567198017777,0.124837556786472,0.407950190175509,0.237852275959855,0.414429019772239,0.118597368238827,0.977282799240563,1
"399",37063002008,0.206584153819012,0,0.304874921810106,0.248929331268559,0.175926988105445,0,0,0.171010282302344,0.301413846969854,0.489442864437461,0.340372822852508,0,0.993735255488886,1
"400",37063002009,0.914461639764199,0.351850474434134,0.699645493656533,0.612372435695794,0.443235665345692,0.802538345881472,0.300743378960692,0.250178558697144,0.619765251593585,0,0.209656967344384,0.200338887563007,0.986626229698117,2
"401",37063002013,0.48444097810544,0.114467136623907,0.458342142269119,0.376643684556477,0.317843473323638,0.747934449396509,0.118957737857722,0.255552687415787,0.501851564289711,0.388765631654996,0.383962214181724,0.0971285862357264,0.991578797438912,1
"402",37063002015,0.544520868461876,0.389426363465525,0.63074601192672,0.485675198739956,0.389270387664564,0,0.139360997425054,0.2208371581286,0.87520370194281,0.311954221387707,0.304020907007624,0.246462576576836,0.986478837009578,3
"403",37063002016,0.582263977102602,0.306262487924519,0.743885860905979,0.601039056513671,0.506982494766831,0,0.0669649530182425,0.177786321861341,0.955170804250445,0.191452697391146,0.1609746521465,0.281465309546889,0.993250766524645,3
"404",37063002017,0.296071089163801,0.25078493128776,0.389249472080762,0.31554254795051,0.132115112020099,0,0.0663514560749833,0.136644918365047,0.564850373157303,0.429441164574938,0.265648953469708,0.0850453079394491,0.980148878436011,3
"405",37063002018,0.40357344368616,0.199141363713665,0.394405318873308,0.347832796499968,0.163929753764779,0,0,0.179372533555552,0.597721947363516,0.338111501067031,0.366879762941858,0.0585420582369576,0.990159662211477,1
"406",37063002019,0.233886089160306,0.188287871989638,0.501576462135556,0.466791963129299,0.176035605041509,0,0.08074631508721,0.179806190391097,0.631837731941767,0.494297376998114,0.14479074758769,0,1,1
"407",37063002020,0.45787096177172,0,0.183400867691935,0.155002023650741,0.14649292471362,0.133038021047548,0,0.146420212340154,0.172956307408977,0.556512585645752,0.428719748848778,0,1,1
"408",37063002021,0.512332180848872,0.32425977908481,0.499797857278983,0.482515639079549,0.258626403818392,0.632455532033676,0.0671761518625574,0.249934649064365,0.797519864748253,0.501081082343218,0.33172068075206,0.130950427416,0.995703767583403,1
"409",37063002022,0.568229442824918,0.25506502030704,0.591348671710474,0.580126614364595,0.219452555922994,0,0,0.286269466532635,0.765592075902188,0.447415179280986,0.486637360257112,0.159436750947763,0.988298622030622,3
"410",37063002023,0.458730374592577,0,0.332152552671374,0.332152552671374,0.19769561945446,0,0,0.162960168745342,0.682840619825025,0.52483989850244,0.39906634220469,0.202268799351724,0.98812779444712,3
"411",37063002024,0.457575696077942,0.131306432859722,0.296273147243853,0.269773567603977,0.0892269568119127,0,0,0.17913930604616,0.476375804979624,0.44428009968245,0.361123722412782,0,0.997181107852454,1
"412",37063002025,0.652257617816764,0.189517345371334,0.494646379711024,0.480646751613027,0.277092636838175,0.304874921810106,0.193466047489452,0.22684747597824,0.419015207578811,0.383706034223738,0.361719672530161,0.109992266440639,0.992409757435941,1
"413",37063002026,0.836770003534698,0.349994496985134,0.749771922578735,0.681487587774606,0.300167904011565,NA,0.116113222465975,0.239351926308795,0.747372824865221,0.188422287906398,0.343868999477823,0.0620651280774201,0.994398797084212,2
"414",37063002027,0.645410405111196,0.124171261581105,0.619390302532716,0.553900449551336,0.317666451837954,0.564859405392105,0.166758418210455,0.232117016471888,0.766052623606933,0.452128178178226,0.292150282857869,0.167581921580249,0.984460763867567,1
